INIT;DRIVER_INIT_ZERO;DRIVER_INIT_LIST_ONE;ECUM_STATE_STARTUP_TWO;DRIVER_INIT_TWO;NVM_READALL;NVM_READALL_FINISHED;DRIVER_INIT_THREE;OPERATION;PREP_SHUTDOWN;ON_GO_OFF_ONE_A_CALLOUT;NVM_WRITEALL;NVM_WRITEALL_FINISHED;SHUTDOWN_2;PHASE_LAST;NUMBER_OF_PHASE;
0;0;19795;1885;23718;26952;8596;17932;152211067;9982;9981;19995;0;0;0;0;
0;0;19804;1886;23720;27111;8433;17998;152965910;10076;9905;19993;0;0;0;0;
0;0;19793;1886;23660;27178;8427;17884;153166026;10077;9904;19992;0;0;0;0;
0;0;19795;1884;23649;27284;8334;17897;154166010;10003;10013;19955;0;0;0;0;
0;0;19794;1884;23652;27488;8127;17917;153165996;10068;9904;140021;0;0;0;0;
0;0;19832;1887;23722;25356;0;0;153165108;10006;0;0;0;0;0;0;
0;0;19793;1885;23650;25346;274;17922;153166051;9930;9987;19987;0;0;0;0;
0;0;19802;1885;23723;25749;9791;17983;152165934;10005;9973;19991;0;0;0;0;
0;0;19801;1887;23716;25948;9599;17979;152066015;9923;9985;19983;0;0;0;0;
0;0;19802;1887;23718;26056;9491;17995;152065919;10003;10014;19950;0;0;0;0;
0;0;19800;1887;23721;26242;9300;17999;152965926;9991;9977;19994;0;0;0;0;
0;0;19792;1885;23658;26258;9347;17920;152965992;10004;9973;19998;0;0;0;0;
0;0;19793;1885;23652;26472;9143;17936;153065971;10003;9976;20000;0;0;0;0;
0;0;19792;1886;23653;26551;9061;17916;155266059;9934;9983;19996;0;0;0;0;
0;0;19803;1886;23722;26882;8661;17996;152065916;10001;9976;19993;0;0;0;0;
0;0;19792;1886;23646;26846;8773;17913;154165993;9996;9987;19991;0;0;0;0;
0;0;19802;1886;23723;27130;8412;17972;156366018;9929;9973;19987;0;0;0;0;
0;0;19792;1886;23653;27161;8449;17914;151965996;10072;9912;19991;0;0;0;0;
0;0;19802;1886;23718;27405;8142;17989;154165926;10071;9907;19990;0;0;0;0;
0;0;19794;1885;23654;27466;8147;17900;153166007;9999;9984;19991;0;0;0;0;
0;0;19831;1888;23720;25147;402;17971;155165934;10000;9980;19994;0;0;0;0;
0;0;19802;1886;23718;25330;220;17953;151966029;0;0;0;0;0;0;0;
0;0;19794;1884;23660;25345;266;17888;153166080;9937;9984;19990;0;0;0;0;
0;0;19802;1885;23717;25728;9814;17960;155965964;10061;9919;19992;0;0;0;0;
0;0;19792;1886;23658;25846;9760;17875;153066109;9930;9974;19999;0;0;0;0;
0;0;19801;1887;23716;26046;9502;17941;154065975;10072;9896;20001;0;0;0;0;
0;0;19802;1886;23720;26230;9315;17928;153066060;9930;10005;19963;0;0;0;0;
0;0;19801;1887;23725;26394;9143;17957;155065960;10007;10005;19992;0;0;0;0;
0;0;19793;1885;23655;26446;9164;17905;153066006;10075;9907;19993;0;0;0;0;
0;0;19801;1888;23717;26680;8867;17957;152165952;10012;9970;20000;0;0;0;0;
0;0;19793;1885;23654;26686;8924;17871;155066038;10077;9903;19998;0;0;0;0;
0;0;19793;1885;23665;26895;8706;17908;153166002;10001;9984;19984;0;0;0;0;
0;0;19794;1886;23651;26992;8623;17885;153966026;10077;9897;19995;0;0;0;0;
0;0;19831;1886;23724;27253;8286;17946;150965972;10005;9971;19993;0;0;0;0;
